date,sport,activity type,duration minutes,club name,club location,club map link,session rating,racket,partner,oponents,notes
2025-07-26,padel,friendly,90,Padel Town,"Mag warehouses, Plot 911 - Al Quoz Industrial Area 2 - Dubai",https://maps.app.goo.gl/UCJaZnernuPw3NSj8,3,Wilson Bela Elite V2.5,Rami,"Ricardo, Tomas",
2025-07-19,padel,tournament,210,Padel Pro Al Quoz,Al Quoz - Al Quoz Industrial Area 2 - Dubai,https://maps.app.goo.gl/fBZJxcYssLYKn9Ft8,2,Wilson Bela Elite V2.5,Rami,Various,
2025-07-17,padel,friendly,60,Match Point Padel,ABA AVENUE - 93 24B Street - Al Quoz - Al Quoz Industrial Area 2 - Dubai,https://maps.app.goo.gl/UurvvaUXD4jwuepM9,4,Wilson Bela Elite V2.5,Simon,"Miguel, Daniel",
2025-06-27,padel,friendly,90,Padel Town,"Mag warehouses, Plot 911 - Al Quoz Industrial Area 2 - Dubai",https://maps.app.goo.gl/UCJaZnernuPw3NSj8,5,Wilson Bela Elite V2.5,Rami,"Ricardo, Tomas",
2025-06-22,padel,friendly,90,Padel Town,"Mag warehouses, Plot 911 - Al Quoz Industrial Area 2 - Dubai",https://maps.app.goo.gl/UCJaZnernuPw3NSj8,4,Wilson Bela Elite V2.5,Rami,"Ricardo, Tomas",
2025-06-08,padel,friendly,90,Danube Sports World,al habtoor city - Al Meydan Rd - Dubai,https://maps.app.goo.gl/5cnmpXmj4jN87N868,,Wilson Bela Elite V2.5,Rami,"Ricardo, Tomas",
2025-06-06,padel,friendly,90,Padel Pro Al Quoz,Al Quoz - Al Quoz Industrial Area 2 - Dubai,https://maps.app.goo.gl/fBZJxcYssLYKn9Ft8,3,Wilson Bela Elite V2.5,Rami,"Ricardo, Tomas",
2025-05-25,padel,tournament,210,Padel Town,"Mag warehouses, Plot 911 - Al Quoz Industrial Area 2 - Dubai",https://maps.app.goo.gl/UCJaZnernuPw3NSj8,4,Wilson Bela Elite V2.5,Ana,Various,wifey broke her achilles :(
2025-05-17,padel,tournament,180,WPA - Dubai - World Padel Academy - Al Qouz,56 3B St - Al Quoz - القوز 1 - Dubai,https://maps.app.goo.gl/kugK5wCnbc1ZYCe47,,Wilson Bela Elite V2.5,,,
2025-05-10,padel,friendly,90,Padel Pro Al Quoz,Al Quoz - Al Quoz Industrial Area 2 - Dubai,https://maps.app.goo.gl/fBZJxcYssLYKn9Ft8,,Wilson Bela Elite V2.5,Fabien,"Ricardo, Tomas",
